# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402569 		 0.403161 		 0.405065
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.400797 		 0.400797 		 0.400797
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.400797 		 0.400797 		 0.400797
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.40197 		 0.40197 		 0.403122
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402453 		 0.403701 		 0.405055
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.403092 		 0.403301 		 0.40347
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402453 		 0.403701 		 0.405055
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.403092 		 0.403301 		 0.40347
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402605 		 0.403741 		 0.403895
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.401803 		 0.402303 		 0.405102
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402126 		 0.40252 		 0.403483
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402195 		 0.402395 		 0.403243
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402195 		 0.402395 		 0.403243
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.401776 		 0.401776 		 0.401776
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.403276 		 0.404086 		 0.406029
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.40204 		 0.40204 		 0.403401
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.401103 		 0.401103 		 0.403071
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.40181 		 0.402386 		 0.40483
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.40181 		 0.402386 		 0.40483
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.40218 		 0.402483 		 0.402554

# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402193 		 0.402197 		 0.403288
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.403199 		 0.404135 		 0.404317
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402002 		 0.402077 		 0.403761
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402929 		 0.402929 		 0.405264
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.40205 		 0.40205 		 0.40205
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.40178 		 0.40276 		 0.403246
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.401064 		 0.40216 		 0.403203
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402927 		 0.403179 		 0.407548
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402677 		 0.402677 		 0.403647
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.402036 		 0.403156 		 0.403591
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
