# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245319 		 0.248095 		 0.253337
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244976 		 0.247951 		 0.248725
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244976 		 0.247951 		 0.248725
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244349 		 0.248132 		 0.250631
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246961 		 0.24798 		 0.24798
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245263 		 0.246223 		 0.25143
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.247324 		 0.248024 		 0.249797
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245775 		 0.248027 		 0.249193
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245448 		 0.245448 		 0.24886
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245676 		 0.247721 		 0.252635
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246197 		 0.248432 		 0.249035
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.24629 		 0.248037 		 0.250346
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246105 		 0.246403 		 0.250389
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244827 		 0.248009 		 0.249789
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246373 		 0.248263 		 0.249644
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246215 		 0.247671 		 0.248874
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.247135 		 0.247137 		 0.249658
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246214 		 0.246428 		 0.248231
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.24368 		 0.246594 		 0.252039
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245954 		 0.248584 		 0.254234
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245811 		 0.247006 		 0.248782
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244844 		 0.246145 		 0.249112
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244844 		 0.246145 		 0.249112
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245887 		 0.248127 		 0.250221
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246826 		 0.248752 		 0.249507
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245374 		 0.248295 		 0.248295
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246125 		 0.246415 		 0.249473
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244252 		 0.246983 		 0.247493
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.243126 		 0.246715 		 0.248698
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246498 		 0.246902 		 0.252403
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245182 		 0.248799 		 0.249968
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245549 		 0.246977 		 0.248966
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246122 		 0.248253 		 0.248707
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.242592 		 0.246808 		 0.250665
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244309 		 0.248381 		 0.248381
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245753 		 0.245753 		 0.247804
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245753 		 0.245753 		 0.247804
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244309 		 0.248381 		 0.248381
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245839 		 0.248583 		 0.252079
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.243842 		 0.245994 		 0.24925
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245609 		 0.24692 		 0.249145

# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246513 		 0.248854 		 0.252229
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245447 		 0.248595 		 0.250263
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.247054 		 0.247054 		 0.249799
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245983 		 0.245983 		 0.250779
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245312 		 0.247042 		 0.249098
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.24536 		 0.24706 		 0.249157
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244819 		 0.246838 		 0.250492
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245715 		 0.246385 		 0.248037
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245876 		 0.248191 		 0.249979
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246534 		 0.247682 		 0.251718
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245121 		 0.246563 		 0.248827
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245931 		 0.247518 		 0.248261
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245931 		 0.247518 		 0.248261
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246618 		 0.246618 		 0.248781
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245018 		 0.247939 		 0.248447
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246348 		 0.248259 		 0.250201
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245018 		 0.247939 		 0.248447
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.247126 		 0.247389 		 0.249779
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246798 		 0.248353 		 0.249347
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244693 		 0.245957 		 0.248794
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246239 		 0.248384 		 0.248831
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246924 		 0.24756 		 0.248897
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244967 		 0.247791 		 0.249238
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245399 		 0.248223 		 0.248393
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246153 		 0.248215 		 0.252044
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245547 		 0.24722 		 0.248727
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246515 		 0.246515 		 0.24851
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245961 		 0.246868 		 0.247908
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245897 		 0.247436 		 0.251517
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246669 		 0.247084 		 0.249738
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244363 		 0.246168 		 0.247805
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.24616 		 0.24616 		 0.251026

# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246041 		 0.247836 		 0.250529
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246513 		 0.248424 		 0.266288
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245691 		 0.24633 		 0.24831
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246215 		 0.24763 		 0.248426
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244569 		 0.244569 		 0.249521
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246612 		 0.248066 		 0.248757
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245366 		 0.246277 		 0.249404
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245227 		 0.245227 		 0.251754
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246672 		 0.247009 		 0.248838
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246883 		 0.246883 		 0.248332
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246679 		 0.246679 		 0.248274
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245555 		 0.247528 		 0.255552
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245484 		 0.245484 		 0.250359
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246441 		 0.247021 		 0.248836
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246628 		 0.246628 		 0.250109
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.247075 		 0.248921 		 0.249423
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245875 		 0.248018 		 0.249947
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.243138 		 0.247224 		 0.249014
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.244662 		 0.245742 		 0.249223
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246167 		 0.247978 		 0.248004
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.245515 		 0.248064 		 0.24837
