# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.292299 		 0.296141 		 0.296141
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.294606 		 0.295647 		 0.29622
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.294606 		 0.295647 		 0.29622
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.295955 		 0.296655 		 0.299256
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.294921 		 0.296082 		 0.296659
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.295832 		 0.296389 		 0.297754
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.295555 		 0.296776 		 0.296865
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.295489 		 0.295817 		 0.301419
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.295951 		 0.295951 		 0.301833
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.295799 		 0.295799 		 0.299014
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.296567 		 0.296567 		 0.298675
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.294235 		 0.294829 		 0.298752
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.295047 		 0.295454 		 0.295573
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.296051 		 0.296563 		 0.298025
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.296231 		 0.297063 		 0.301559
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.293759 		 0.294785 		 0.295661
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.293759 		 0.294785 		 0.295661
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.294397 		 0.296481 		 0.296983
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.296208 		 0.296208 		 0.29695
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.296769 		 0.29696 		 0.29696
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.295972 		 0.297056 		 0.297569
