# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.380479 		 0.382549 		 0.385929
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.378266 		 0.38052 		 0.381711
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.378266 		 0.38052 		 0.381711
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.380126 		 0.38091 		 0.383128
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.378723 		 0.378723 		 0.381003
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.378723 		 0.378723 		 0.381003
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374819 		 0.379562 		 0.379562
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.37638 		 0.380653 		 0.381435
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.377845 		 0.379937 		 0.381346
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.379912 		 0.379912 		 0.382709
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.3794 		 0.3794 		 0.381685
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.380381 		 0.381342 		 0.381342
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.376475 		 0.380399 		 0.381578
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.38064 		 0.380831 		 0.384323
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.378451 		 0.382288 		 0.383572
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.378774 		 0.378774 		 0.384263
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.377957 		 0.379926 		 0.379926
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375073 		 0.382489 		 0.384784
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.377627 		 0.378798 		 0.382407
