# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460199 		 0.460199 		 0.461819
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.45996 		 0.460686 		 0.461048
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460237 		 0.460538 		 0.463009
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460244 		 0.460244 		 0.466398
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.459535 		 0.460043 		 0.461706
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460363 		 0.461283 		 0.462357
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.46 		 0.461062 		 0.462418
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.461037 		 0.461128 		 0.465421
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460947 		 0.461175 		 0.462054
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.46099 		 0.46099 		 0.4618
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460398 		 0.460398 		 0.460398
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.4595 		 0.461015 		 0.461504
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.459841 		 0.459841 		 0.460858
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460469 		 0.460478 		 0.461528
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.459981 		 0.460504 		 0.460842
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.45939 		 0.460698 		 0.460865
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460749 		 0.460749 		 0.460943
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.459066 		 0.461026 		 0.46363
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460695 		 0.460695 		 0.461871
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460591 		 0.460591 		 0.461557
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.459914 		 0.460612 		 0.465796
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460475 		 0.460475 		 0.462404
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460366 		 0.460366 		 0.462735
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.45957 		 0.45957 		 0.460496
6
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460488 		 0.460488 		 0.461354
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.459898 		 0.460385 		 0.460385
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.460272 		 0.461101 		 0.462405
