# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.390708 		 0.390708 		 0.390708
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.389705 		 0.390399 		 0.392565
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.390245 		 0.390277 		 0.391706
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.389944 		 0.389944 		 0.392554
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.389403 		 0.389403 		 0.39302
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.389278 		 0.389783 		 0.391035
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.388886 		 0.390132 		 0.391873
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.388129 		 0.389862 		 0.390017
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.38984 		 0.390283 		 0.390283
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.389888 		 0.390499 		 0.394637
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.388566 		 0.390375 		 0.391381
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.389375 		 0.389375 		 0.392275
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.38848 		 0.390721 		 0.393807
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.39023 		 0.39045 		 0.39045
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.39015 		 0.390543 		 0.391585
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.389602 		 0.389897 		 0.39125
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.389415 		 0.389627 		 0.389627
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.39006 		 0.390279 		 0.394193
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.38907 		 0.38907 		 0.391014
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.389863 		 0.390151 		 0.394206
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.388334 		 0.389013 		 0.391608
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.389529 		 0.389529 		 0.391771
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.390163 		 0.391303 		 0.393737
