# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301724 		 0.30337 		 0.303655
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300903 		 0.302615 		 0.303582
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.303149 		 0.303346 		 0.306
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.30188 		 0.301997 		 0.30566
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301571 		 0.301992 		 0.30316
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.296533 		 0.304532 		 0.307545
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300673 		 0.303429 		 0.305271
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.302064 		 0.302793 		 0.305586
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300278 		 0.302391 		 0.304871
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300193 		 0.300193 		 0.305497
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299259 		 0.302187 		 0.304326
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301173 		 0.302371 		 0.305459
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300631 		 0.302469 		 0.303505
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300281 		 0.302025 		 0.30504
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.297613 		 0.299603 		 0.303211
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301687 		 0.301766 		 0.302752
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300844 		 0.302318 		 0.30415
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.298889 		 0.302578 		 0.30487
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300467 		 0.301196 		 0.304905
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.302724 		 0.303515 		 0.304022
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301162 		 0.302073 		 0.305325
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300592 		 0.301947 		 0.304321
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301737 		 0.302299 		 0.304113
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301503 		 0.301865 		 0.304425
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301742 		 0.301833 		 0.306836
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.30142 		 0.301523 		 0.302455
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301743 		 0.302286 		 0.3067
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.30073 		 0.30188 		 0.305229
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300793 		 0.302475 		 0.304668
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300027 		 0.301878 		 0.303069
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.302121 		 0.302699 		 0.304274
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301578 		 0.30245 		 0.306017
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301816 		 0.302741 		 0.309695
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301658 		 0.30227 		 0.303202
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301816 		 0.301968 		 0.304662
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300713 		 0.301571 		 0.303486
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300955 		 0.302018 		 0.303394
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300123 		 0.30192 		 0.303762
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.301777 		 0.301862 		 0.305222
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299882 		 0.302278 		 0.305017
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.302081 		 0.302092 		 0.305437
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
