# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551673 		 0.551703 		 0.557102
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.549961 		 0.552384 		 0.555547
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551364 		 0.551364 		 0.553977
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.549706 		 0.552601 		 0.553452
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551695 		 0.552045 		 0.553546
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551624 		 0.55185 		 0.556315
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551259 		 0.552103 		 0.552103
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551697 		 0.551697 		 0.553153
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.552031 		 0.553064 		 0.555401
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550872 		 0.550872 		 0.552226
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551703 		 0.551703 		 0.554444
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.552366 		 0.552366 		 0.55403
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.55248 		 0.55248 		 0.553265
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551417 		 0.551417 		 0.554408
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.552006 		 0.552559 		 0.554366
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.55168 		 0.55168 		 0.556145
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.549964 		 0.551381 		 0.553559
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551027 		 0.551027 		 0.553149
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550513 		 0.550513 		 0.551477
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.55069 		 0.55069 		 0.552933
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551807 		 0.55215 		 0.55229
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.553083 		 0.554533 		 0.55476
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550293 		 0.550293 		 0.553442
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551546 		 0.551546 		 0.553854
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550516 		 0.550516 		 0.569359
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.552205 		 0.553264 		 0.553896
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.552205 		 0.553264 		 0.553896
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550384 		 0.552906 		 0.557157
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.5494 		 0.552448 		 0.556591
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.5494 		 0.552448 		 0.556591
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.552212 		 0.552239 		 0.552405
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551441 		 0.552305 		 0.553128
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551948 		 0.552162 		 0.554338
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.55139 		 0.55139 		 0.55542
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551412 		 0.551412 		 0.552755
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.55261 		 0.553989 		 0.56078
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.55016 		 0.55016 		 0.554943
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.553035 		 0.553221 		 0.555646
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.546974 		 0.5516 		 0.556517
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.553145 		 0.553819 		 0.553819
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550939 		 0.55222 		 0.552623
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550152 		 0.550596 		 0.554888
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.552048 		 0.552338 		 0.552641
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551847 		 0.551958 		 0.552986
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
