# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.309502 		 0.309502 		 0.309502
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.307662 		 0.308112 		 0.308658
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.308141 		 0.309258 		 0.310338
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.307403 		 0.307403 		 0.308801
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.305272 		 0.309506 		 0.310565
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.306928 		 0.308559 		 0.311127
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.307231 		 0.307231 		 0.307873
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.307442 		 0.308747 		 0.310196
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.307595 		 0.309959 		 0.309959
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.306505 		 0.308112 		 0.30901
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.307146 		 0.309293 		 0.309293
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.307238 		 0.309425 		 0.31105
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.308515 		 0.310007 		 0.310316
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.308515 		 0.310007 		 0.310316
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.308457 		 0.309953 		 0.314257
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.307106 		 0.308874 		 0.311975
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.306787 		 0.30909 		 0.311158
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.308568 		 0.309494 		 0.310563
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.308409 		 0.309603 		 0.311266
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.306968 		 0.30727 		 0.308833
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.306723 		 0.308993 		 0.31094
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.307981 		 0.308019 		 0.313769
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.307165 		 0.307946 		 0.312561
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.307452 		 0.310166 		 0.31146
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.305971 		 0.308493 		 0.311506
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.308679 		 0.308679 		 0.314186
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
