# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386676 		 0.386767 		 0.391539
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.38586 		 0.38586 		 0.390239
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385915 		 0.387143 		 0.387204
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386231 		 0.386231 		 0.386808
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.38534 		 0.38534 		 0.389379
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386058 		 0.386718 		 0.390357
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386562 		 0.386825 		 0.386895
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.38574 		 0.38574 		 0.387431
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386684 		 0.386684 		 0.387618
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385818 		 0.38629 		 0.387206
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385641 		 0.386328 		 0.38868
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385728 		 0.386523 		 0.387897
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.387192 		 0.387192 		 0.390312
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386816 		 0.386816 		 0.389166
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386418 		 0.386427 		 0.387406
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385614 		 0.386929 		 0.389016
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385826 		 0.385826 		 0.388229
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.387192 		 0.387192 		 0.387962
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385607 		 0.385607 		 0.387679
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386104 		 0.38756 		 0.388332
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386447 		 0.386778 		 0.388364
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386259 		 0.386259 		 0.386259
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.387168 		 0.387168 		 0.387168
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386789 		 0.386996 		 0.386996
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.38657 		 0.386912 		 0.388457
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386724 		 0.387869 		 0.388613
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385751 		 0.386773 		 0.390501
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386288 		 0.387771 		 0.389765
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386671 		 0.386671 		 0.389559
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386353 		 0.386522 		 0.392405
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386851 		 0.386851 		 0.387569
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386246 		 0.386623 		 0.387451
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385552 		 0.385766 		 0.38742
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386024 		 0.386668 		 0.388308
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.387347 		 0.387585 		 0.387585
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386395 		 0.386395 		 0.388242
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386333 		 0.387759 		 0.389697
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.387277 		 0.387277 		 0.388213
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386506 		 0.386506 		 0.387013
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386506 		 0.386506 		 0.387013
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.38671 		 0.387266 		 0.38802
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.3859 		 0.386699 		 0.388703
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385686 		 0.386332 		 0.386332
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.38584 		 0.387104 		 0.389637
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.387054 		 0.387054 		 0.388989
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385504 		 0.38845 		 0.39389
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385006 		 0.38622 		 0.38622
8
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.38542 		 0.386735 		 0.387134
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385983 		 0.386294 		 0.387652
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.387129 		 0.387237 		 0.388526
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386096 		 0.387927 		 0.38947
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386957 		 0.386988 		 0.389189
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386541 		 0.387407 		 0.388078
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386766 		 0.386766 		 0.388058
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386806 		 0.387542 		 0.388666
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386433 		 0.386822 		 0.387644
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385549 		 0.388242 		 0.389157
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385894 		 0.386525 		 0.387524
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386409 		 0.38741 		 0.389066
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.387117 		 0.387117 		 0.387214
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386705 		 0.38689 		 0.390262
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.386198 		 0.387094 		 0.389005
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.385929 		 0.385929 		 0.387184
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.3867 		 0.3867 		 0.387823
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.387228 		 0.387228 		 0.388113
