# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374188 		 0.374318 		 0.374318
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375032 		 0.375032 		 0.375032
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374646 		 0.37532 		 0.379199
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374657 		 0.37493 		 0.378229
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.365922 		 0.375191 		 0.378167
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375032 		 0.375084 		 0.37766
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374694 		 0.375687 		 0.380072
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374792 		 0.375445 		 0.38123
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375265 		 0.376157 		 0.37766
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.37613 		 0.37613 		 0.377877
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373993 		 0.37529 		 0.377431
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373445 		 0.373445 		 0.373445
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.372957 		 0.374432 		 0.377132
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.37513 		 0.375315 		 0.380721
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373885 		 0.3757 		 0.375946
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.376428 		 0.376775 		 0.381306
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.371957 		 0.373011 		 0.374313
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375363 		 0.375363 		 0.376819
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.376266 		 0.376266 		 0.376266
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.372734 		 0.37422 		 0.37422
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374809 		 0.375505 		 0.376039
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.372421 		 0.376065 		 0.37726
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375922 		 0.377904 		 0.383872
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374395 		 0.375155 		 0.376
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374391 		 0.375979 		 0.381821
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374962 		 0.375891 		 0.37603
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.368492 		 0.374336 		 0.379495
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374092 		 0.37509 		 0.37509
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.37464 		 0.37464 		 0.377978
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374022 		 0.374139 		 0.375448
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374603 		 0.376204 		 0.376204
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375106 		 0.375106 		 0.380122
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374044 		 0.374044 		 0.377837
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375112 		 0.375112 		 0.376624
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374307 		 0.375584 		 0.379737
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374928 		 0.376559 		 0.381106
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.37525 		 0.37525 		 0.376202
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374394 		 0.374966 		 0.374966
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373568 		 0.373707 		 0.380692
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.37521 		 0.375938 		 0.375938
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374352 		 0.375976 		 0.376332
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374909 		 0.375752 		 0.375752
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373977 		 0.373977 		 0.373977
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375143 		 0.376743 		 0.376743
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374115 		 0.375028 		 0.37655
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373221 		 0.375305 		 0.377995
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374115 		 0.374115 		 0.375786
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374335 		 0.377038 		 0.379687
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374335 		 0.377038 		 0.379687
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374715 		 0.374715 		 0.377423
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375726 		 0.375726 		 0.377919
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.372011 		 0.374201 		 0.374201
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374787 		 0.375259 		 0.375757
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.372553 		 0.375626 		 0.377642
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.372287 		 0.37441 		 0.377137
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.372847 		 0.374641 		 0.37768
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375823 		 0.375823 		 0.375823
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375499 		 0.375499 		 0.379234
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373612 		 0.374174 		 0.375788
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374875 		 0.375871 		 0.375871
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374699 		 0.37522 		 0.378165
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.371779 		 0.377106 		 0.380881
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374756 		 0.374756 		 0.377902
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.376962 		 0.376962 		 0.376962
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375588 		 0.376387 		 0.37666
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373086 		 0.375325 		 0.380308
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.372451 		 0.373679 		 0.377914
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374443 		 0.374661 		 0.374661
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.371789 		 0.375833 		 0.379814
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373299 		 0.373945 		 0.37771
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.37096 		 0.375619 		 0.377252
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375399 		 0.375399 		 0.376363
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375443 		 0.375812 		 0.377227
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375543 		 0.375576 		 0.379111
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373389 		 0.374571 		 0.374571
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374441 		 0.376592 		 0.37755
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374086 		 0.37608 		 0.376771
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.37526 		 0.376068 		 0.378332
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373518 		 0.374969 		 0.377074
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374812 		 0.374935 		 0.377557
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374725 		 0.37628 		 0.376982
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374208 		 0.374966 		 0.382003
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375129 		 0.375129 		 0.376971
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375354 		 0.376348 		 0.377513
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.372406 		 0.375721 		 0.376532
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374565 		 0.375588 		 0.381485
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373999 		 0.374007 		 0.377789
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375158 		 0.375158 		 0.376779
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374786 		 0.374786 		 0.375577
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374324 		 0.37652 		 0.376878
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.37535 		 0.376685 		 0.37784
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.376107 		 0.376107 		 0.376107
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.374895 		 0.375464 		 0.377551
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.375678 		 0.376027 		 0.378904
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373762 		 0.373762 		 0.377357
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.373353 		 0.375442 		 0.37848
