# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476031 		 0.476031 		 0.478423
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476791 		 0.479115 		 0.481813
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477941 		 0.477941 		 0.480578
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476446 		 0.478924 		 0.479892
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476842 		 0.477112 		 0.480009
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476624 		 0.477975 		 0.478296
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477049 		 0.477049 		 0.484161
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477459 		 0.477504 		 0.480673
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476479 		 0.476479 		 0.479398
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477061 		 0.477525 		 0.478089
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476982 		 0.477219 		 0.478187
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476039 		 0.477874 		 0.481922
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477005 		 0.477005 		 0.478991
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477005 		 0.477005 		 0.478991
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477487 		 0.477985 		 0.477985
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476328 		 0.476355 		 0.478717
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477511 		 0.477546 		 0.479949
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477162 		 0.477231 		 0.480262
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477162 		 0.477231 		 0.480262
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475896 		 0.477933 		 0.479114
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476828 		 0.478087 		 0.479104
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475683 		 0.475683 		 0.479928
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477809 		 0.478182 		 0.481907
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.474884 		 0.474884 		 0.478683
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477278 		 0.477278 		 0.480122
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476293 		 0.478051 		 0.478618
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476771 		 0.478956 		 0.479615
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476381 		 0.479146 		 0.479693
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476978 		 0.476978 		 0.478435
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475645 		 0.475645 		 0.482198
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476634 		 0.476634 		 0.478623
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477587 		 0.478994 		 0.479689
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476194 		 0.476449 		 0.480678
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477229 		 0.477229 		 0.479948
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476427 		 0.478608 		 0.483127
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477692 		 0.478399 		 0.480705
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477946 		 0.477946 		 0.482725
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476944 		 0.478125 		 0.479148
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.474332 		 0.477442 		 0.480865
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476152 		 0.476828 		 0.478433
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476613 		 0.476613 		 0.478895
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.474753 		 0.474753 		 0.478448
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.474753 		 0.474753 		 0.478448
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475763 		 0.477533 		 0.481085
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478769 		 0.478769 		 0.478769
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475785 		 0.478439 		 0.478902
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476966 		 0.476966 		 0.478565
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475762 		 0.475762 		 0.480537
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475079 		 0.475079 		 0.478748
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47695 		 0.47729 		 0.478486
2
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477505 		 0.477505 		 0.484715
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475865 		 0.476668 		 0.486853
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.474485 		 0.477206 		 0.479822
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477084 		 0.477191 		 0.479506
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475946 		 0.475946 		 0.477918
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478298 		 0.478298 		 0.481541
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477495 		 0.477495 		 0.480686
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476078 		 0.477698 		 0.48071
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477221 		 0.478734 		 0.479839
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477691 		 0.478337 		 0.479232
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476576 		 0.476576 		 0.479533
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477823 		 0.478493 		 0.480247
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476839 		 0.47814 		 0.478732
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.473679 		 0.473679 		 0.479182
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.474628 		 0.474633 		 0.481449
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.472671 		 0.477524 		 0.481471
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47691 		 0.477442 		 0.479323
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47691 		 0.477442 		 0.479323
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47707 		 0.478953 		 0.481057
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475797 		 0.476256 		 0.482918
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.473518 		 0.473518 		 0.478901
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475963 		 0.47752 		 0.480989
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475682 		 0.478604 		 0.480566
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477106 		 0.478997 		 0.479704
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476949 		 0.477589 		 0.478974
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477635 		 0.479146 		 0.479582
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475131 		 0.477711 		 0.482168
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.473128 		 0.476153 		 0.479773
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476352 		 0.4773 		 0.483479
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478304 		 0.478639 		 0.481899
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477275 		 0.477275 		 0.479289
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47717 		 0.477297 		 0.479415
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478286 		 0.478377 		 0.479112
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475925 		 0.475925 		 0.480708
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475855 		 0.475855 		 0.484707
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477401 		 0.477417 		 0.479107
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476546 		 0.476546 		 0.479357
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475878 		 0.47733 		 0.478705
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476041 		 0.476041 		 0.480361
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476897 		 0.476897 		 0.480324
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475139 		 0.475139 		 0.48078
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475035 		 0.47804 		 0.479252
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475753 		 0.478011 		 0.478011
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47616 		 0.477629 		 0.480083
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
