# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238052 		 0.240062 		 0.240474
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238462 		 0.240924 		 0.241515
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238669 		 0.239398 		 0.241487
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.23748 		 0.238062 		 0.240063
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.234276 		 0.240795 		 0.241379
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238066 		 0.238066 		 0.238066
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.236976 		 0.237279 		 0.239293
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238186 		 0.238186 		 0.238974
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238513 		 0.239547 		 0.242515
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238835 		 0.240106 		 0.241835
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238848 		 0.240231 		 0.242108
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237166 		 0.237166 		 0.241329
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237663 		 0.237663 		 0.237663
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238215 		 0.238303 		 0.239529
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237424 		 0.240151 		 0.241736
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238462 		 0.238462 		 0.239642
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.234898 		 0.237379 		 0.241873
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238711 		 0.240104 		 0.24041
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238759 		 0.238759 		 0.242839
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.23667 		 0.238039 		 0.240891
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238487 		 0.239426 		 0.240656
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238004 		 0.238787 		 0.240568
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237236 		 0.239696 		 0.251447
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238664 		 0.240099 		 0.241147
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238855 		 0.240367 		 0.241727
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.239329 		 0.239385 		 0.244862
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238854 		 0.239362 		 0.24464
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.23737 		 0.23982 		 0.242856
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.23737 		 0.23982 		 0.242856
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.239122 		 0.241146 		 0.24178
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237848 		 0.23881 		 0.241047
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.236439 		 0.237885 		 0.241338
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237608 		 0.238735 		 0.23901
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.239867 		 0.240994 		 0.241531
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238804 		 0.240218 		 0.242833
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238582 		 0.238582 		 0.239836
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.235287 		 0.235287 		 0.240038
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237519 		 0.238152 		 0.242236
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.240058 		 0.240759 		 0.258041
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.236809 		 0.238146 		 0.241512
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237489 		 0.238425 		 0.241169
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.23816 		 0.240591 		 0.248581
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.23812 		 0.23812 		 0.242792
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.235542 		 0.240686 		 0.242822
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.236815 		 0.236815 		 0.239576
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238269 		 0.239583 		 0.240194
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.236514 		 0.239134 		 0.248599
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237579 		 0.238334 		 0.239658
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237579 		 0.238334 		 0.239658
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237807 		 0.238913 		 0.241535
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.234858 		 0.240899 		 0.242703
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237424 		 0.238832 		 0.238832
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237832 		 0.239014 		 0.240764
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237885 		 0.239 		 0.239603
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.235811 		 0.237315 		 0.24273
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238488 		 0.24038 		 0.240558
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.238478 		 0.238633 		 0.238633
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237646 		 0.23919 		 0.240039
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237869 		 0.238264 		 0.239572
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.23742 		 0.237844 		 0.237844
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.237213 		 0.24021 		 0.2409
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.23802 		 0.239047 		 0.241032
