# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475891 		 0.476273 		 0.476273
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475673 		 0.479591 		 0.479968
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476591 		 0.477698 		 0.487162
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476122 		 0.477163 		 0.477163
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475923 		 0.477109 		 0.480935
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476738 		 0.478124 		 0.479181
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476738 		 0.478124 		 0.479181
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477734 		 0.478777 		 0.478777
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476133 		 0.47764 		 0.479304
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476797 		 0.476797 		 0.476922
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476617 		 0.476617 		 0.477973
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47816 		 0.47835 		 0.478354
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477014 		 0.477885 		 0.479402
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476179 		 0.478516 		 0.478516
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476615 		 0.477502 		 0.47754
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477167 		 0.477897 		 0.48063
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476349 		 0.478495 		 0.479549
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475539 		 0.476551 		 0.476551
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476813 		 0.476813 		 0.476965
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476725 		 0.477262 		 0.479972
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478164 		 0.478404 		 0.478667
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476562 		 0.47694 		 0.481172
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475476 		 0.4788 		 0.4788
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478698 		 0.478736 		 0.481589
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477004 		 0.477976 		 0.479728
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476881 		 0.476881 		 0.48045
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476876 		 0.476894 		 0.481358
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477282 		 0.477335 		 0.478952
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475981 		 0.477897 		 0.478097
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476431 		 0.476648 		 0.479366
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476406 		 0.476583 		 0.479243
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476116 		 0.476116 		 0.476553
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476018 		 0.478499 		 0.481336
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476536 		 0.477684 		 0.480821
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475395 		 0.475447 		 0.47653
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476441 		 0.476564 		 0.47774
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477731 		 0.478236 		 0.479656
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477022 		 0.477022 		 0.480794
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47716 		 0.477321 		 0.479552
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475616 		 0.479708 		 0.482944
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476778 		 0.476843 		 0.479538
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475925 		 0.476861 		 0.482599
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476784 		 0.47749 		 0.47749
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477058 		 0.477058 		 0.478319
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477442 		 0.477819 		 0.478201
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476749 		 0.478308 		 0.478589
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47726 		 0.478129 		 0.481009
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477015 		 0.477677 		 0.479915
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.474677 		 0.477993 		 0.480587
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477759 		 0.478162 		 0.479086
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47686 		 0.47814 		 0.479042
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476195 		 0.47681 		 0.477944
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475835 		 0.478714 		 0.479003
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477352 		 0.477919 		 0.479304
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475712 		 0.477106 		 0.478064
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476356 		 0.476618 		 0.478696
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477237 		 0.477237 		 0.479448
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47465 		 0.478058 		 0.478353
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476732 		 0.477229 		 0.479951
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.474096 		 0.475938 		 0.477411
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477077 		 0.477419 		 0.477419
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477298 		 0.478285 		 0.479185
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477983 		 0.479229 		 0.479229
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477073 		 0.477073 		 0.477199
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476964 		 0.478529 		 0.480297
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475747 		 0.478659 		 0.48035
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476234 		 0.477807 		 0.477807
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.475134 		 0.477555 		 0.478237
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477472 		 0.478089 		 0.480849
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476781 		 0.478383 		 0.481282
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477905 		 0.478299 		 0.478299
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
