# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.24997 		 0.251158 		 0.254693
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.248266 		 0.25115 		 0.251984
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246117 		 0.251737 		 0.25174
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.247775 		 0.251429 		 0.254955
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.247473 		 0.24855 		 0.251719
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.249807 		 0.251314 		 0.251314
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.24987 		 0.24987 		 0.24987
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.249542 		 0.249633 		 0.249633
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.249001 		 0.249954 		 0.251203
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.249497 		 0.250335 		 0.251969
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.248972 		 0.250513 		 0.255329
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.248097 		 0.251542 		 0.251801
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.25182 		 0.25182 		 0.253505
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.249561 		 0.250259 		 0.251325
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.249006 		 0.249006 		 0.250318
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.250368 		 0.250368 		 0.250368
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.250587 		 0.25371 		 0.259887
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.247767 		 0.248831 		 0.249849
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.246943 		 0.250302 		 0.251094
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.248455 		 0.250027 		 0.251332
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.249483 		 0.249804 		 0.261256
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.249752 		 0.250302 		 0.250302
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.248489 		 0.248489 		 0.254958
