# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.318333 		 0.320181 		 0.322122
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.317768 		 0.319457 		 0.321515
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.316476 		 0.319665 		 0.321413
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.314967 		 0.316462 		 0.321162
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.316408 		 0.31839 		 0.330895
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.316496 		 0.319823 		 0.320363
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.316496 		 0.316869 		 0.320014
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.318982 		 0.319746 		 0.319746
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.31604 		 0.316798 		 0.319101
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.317033 		 0.319688 		 0.321088
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.318137 		 0.319238 		 0.322745
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.316007 		 0.31836 		 0.321197
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.316962 		 0.318886 		 0.320269
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.31574 		 0.318801 		 0.319513
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.317546 		 0.317546 		 0.321235
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.316934 		 0.31769 		 0.320146
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.317437 		 0.318913 		 0.321884
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.316934 		 0.317609 		 0.319663
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.318732 		 0.318795 		 0.321569
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.318301 		 0.32015 		 0.322547
