# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551774 		 0.553685 		 0.560124
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550994 		 0.551435 		 0.577929
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551641 		 0.552153 		 0.557628
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550566 		 0.55117 		 0.553928
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551405 		 0.551405 		 0.553621
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551197 		 0.552648 		 0.559298
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551397 		 0.552443 		 0.554944
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550755 		 0.550755 		 0.551781
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550208 		 0.550208 		 0.558038
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551428 		 0.551428 		 0.552573
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551329 		 0.551329 		 0.551329
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551925 		 0.551925 		 0.555864
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551458 		 0.552346 		 0.553506
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550142 		 0.55021 		 0.555149
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551484 		 0.551754 		 0.553909
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550607 		 0.550652 		 0.556094
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.55083 		 0.551803 		 0.551803
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550274 		 0.550274 		 0.554078
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550728 		 0.550973 		 0.558696
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.552091 		 0.553314 		 0.555049
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.550224 		 0.551136 		 0.552792
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551663 		 0.551663 		 0.554007
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.552746 		 0.552947 		 0.553507
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.551374 		 0.551374 		 0.556826
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
