# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.207876 		 0.208666 		 0.208666
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.207186 		 0.207186 		 0.210552
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.207958 		 0.208284 		 0.209125
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.206949 		 0.20828 		 0.208371
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.207776 		 0.208499 		 0.208499
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.207834 		 0.207834 		 0.211302
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.207975 		 0.20835 		 0.20835
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.208774 		 0.209362 		 0.211325
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.20681 		 0.207288 		 0.207584
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.208251 		 0.208535 		 0.208535
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.208731 		 0.208817 		 0.2089
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.208237 		 0.208237 		 0.208374
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.208249 		 0.208249 		 0.208494
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.208264 		 0.209079 		 0.211578
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.20677 		 0.208239 		 0.211419
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.209144 		 0.209405 		 0.209631
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.207326 		 0.207326 		 0.207326
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.207051 		 0.207051 		 0.209185
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.208643 		 0.208816 		 0.209105
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.207323 		 0.207323 		 0.207323
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.207223 		 0.208127 		 0.208316
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.208824 		 0.208854 		 0.21048
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.207284 		 0.207284 		 0.208585
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
