# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.265006 		 0.265796 		 0.270227
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.265233 		 0.266523 		 0.26867
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.265958 		 0.266454 		 0.266454
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.263949 		 0.266283 		 0.268437
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.266147 		 0.267496 		 0.26887
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.264417 		 0.268329 		 0.27008
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.264518 		 0.265962 		 0.265962
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.264109 		 0.265307 		 0.266974
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.264568 		 0.266401 		 0.269243
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.26527 		 0.266409 		 0.275869
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.265547 		 0.267099 		 0.268313
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.262078 		 0.266537 		 0.266537
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.262381 		 0.26691 		 0.267622
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.264775 		 0.266059 		 0.26684
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.265495 		 0.267348 		 0.267348
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.265384 		 0.265384 		 0.266444
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.265815 		 0.266545 		 0.267275
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.264755 		 0.26773 		 0.26773
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.265886 		 0.266382 		 0.26875
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.264871 		 0.268367 		 0.270327
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.265435 		 0.266531 		 0.270295
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.263669 		 0.267289 		 0.268626
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.264992 		 0.266995 		 0.268105
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.263769 		 0.265548 		 0.268123
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.263955 		 0.265802 		 0.26738
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.264626 		 0.266419 		 0.268602
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.26362 		 0.267115 		 0.269184
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.265681 		 0.267833 		 0.269515
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.263757 		 0.265272 		 0.267874
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.263903 		 0.267531 		 0.268416
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
