# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.479816 		 0.480189 		 0.48087
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.479642 		 0.480349 		 0.482432
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.479606 		 0.480314 		 0.483431
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478762 		 0.479626 		 0.480601
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477287 		 0.478151 		 0.486841
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47651 		 0.478901 		 0.478901
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476848 		 0.476848 		 0.480667
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476938 		 0.479771 		 0.483157
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.479088 		 0.479088 		 0.481289
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.479546 		 0.480396 		 0.482439
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478714 		 0.478714 		 0.483185
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477297 		 0.479236 		 0.481032
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476626 		 0.478889 		 0.479947
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478002 		 0.478824 		 0.486826
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477237 		 0.479057 		 0.479057
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478992 		 0.478992 		 0.478992
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477947 		 0.479549 		 0.480277
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476046 		 0.479857 		 0.479857
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478096 		 0.478096 		 0.478749
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478273 		 0.478273 		 0.483191
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477518 		 0.477518 		 0.484351
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.477932 		 0.479657 		 0.480435
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478787 		 0.478787 		 0.486781
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.476935 		 0.478943 		 0.481435
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.479222 		 0.479222 		 0.479222
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478719 		 0.479425 		 0.479425
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.479562 		 0.479562 		 0.490681
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.479185 		 0.479185 		 0.479185
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478685 		 0.479873 		 0.479873
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478185 		 0.479739 		 0.479739
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478185 		 0.479739 		 0.479739
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.479574 		 0.479864 		 0.507737
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.47658 		 0.478378 		 0.480463

# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.478039 		 0.478919 		 0.479316
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.479442 		 0.479565 		 0.479573
