# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466108 		 0.466108 		 0.468914
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466823 		 0.468347 		 0.469757
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466811 		 0.466991 		 0.473852
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.46422 		 0.468622 		 0.470847
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466347 		 0.467759 		 0.470652
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467787 		 0.470065 		 0.474674
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.465552 		 0.469745 		 0.47057
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.464799 		 0.467525 		 0.470039
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467725 		 0.468592 		 0.471065
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467007 		 0.467007 		 0.471195
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.46673 		 0.470794 		 0.471261
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.463726 		 0.469114 		 0.469361
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.465719 		 0.467905 		 0.467905
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.46637 		 0.467646 		 0.472274
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.468616 		 0.470888 		 0.472465
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.464902 		 0.468042 		 0.472031
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.465722 		 0.469603 		 0.472554
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.462257 		 0.467551 		 0.469908
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.46609 		 0.468796 		 0.468796
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.468023 		 0.468863 		 0.470299
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467103 		 0.467344 		 0.470946
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466077 		 0.468652 		 0.468652
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.465518 		 0.468635 		 0.468756
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467584 		 0.469566 		 0.47441
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466644 		 0.467864 		 0.472105
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467384 		 0.467929 		 0.473074
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466668 		 0.467132 		 0.46897
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466028 		 0.466028 		 0.472396
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467676 		 0.468371 		 0.472988
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.465973 		 0.467854 		 0.468225
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.463067 		 0.469803 		 0.471585
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.464436 		 0.464436 		 0.468664
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467164 		 0.467678 		 0.472033
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.463169 		 0.470076 		 0.470076
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466579 		 0.468646 		 0.468646
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466955 		 0.469723 		 0.472996
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.468629 		 0.469151 		 0.469229
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.465861 		 0.469224 		 0.469883
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466715 		 0.466745 		 0.471441
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.465281 		 0.465718 		 0.471245
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.46851 		 0.469155 		 0.47675
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.46535 		 0.468005 		 0.468005
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467442 		 0.469283 		 0.471829
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466805 		 0.469541 		 0.470858
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467119 		 0.467227 		 0.471121
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466979 		 0.468223 		 0.46955
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467303 		 0.467303 		 0.470872
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466563 		 0.468195 		 0.471398
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.465421 		 0.469028 		 0.469971
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.465066 		 0.46875 		 0.469266
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.463865 		 0.463865 		 0.474278
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.458697 		 0.468956 		 0.469977
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.464732 		 0.468759 		 0.468759
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467721 		 0.468203 		 0.469698
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.463717 		 0.467154 		 0.467336
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.465566 		 0.467984 		 0.475677
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467203 		 0.467517 		 0.46877
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.466992 		 0.469086 		 0.469451
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.467277 		 0.468759 		 0.470422
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.463088 		 0.469373 		 0.470895
