# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.545591 		 0.545591 		 0.548348
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.545482 		 0.545482 		 0.5485
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.546267 		 0.547687 		 0.548382
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.543101 		 0.548269 		 0.550897
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.547009 		 0.547971 		 0.555483
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.547443 		 0.547443 		 0.552725
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.54676 		 0.549396 		 0.555799
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.545695 		 0.545695 		 0.551298
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.543579 		 0.548058 		 0.548058
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.546755 		 0.546755 		 0.549711
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.547058 		 0.547058 		 0.54853
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.545809 		 0.54708 		 0.54708
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.546349 		 0.547548 		 0.547853
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.546184 		 0.547718 		 0.548912
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.546389 		 0.548616 		 0.551676
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.546015 		 0.547746 		 0.550942
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.545703 		 0.546914 		 0.547754
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
