# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212087 		 0.212087 		 0.213044
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212272 		 0.212272 		 0.212284
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211742 		 0.212705 		 0.213238
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211914 		 0.212165 		 0.213144
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212294 		 0.212404 		 0.212779
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212114 		 0.212619 		 0.213445
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212023 		 0.212034 		 0.217401
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212538 		 0.212727 		 0.213863
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21225 		 0.21245 		 0.214622
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21169 		 0.212869 		 0.213347
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212121 		 0.212494 		 0.213885
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212281 		 0.212281 		 0.212802
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212699 		 0.213028 		 0.213272
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21253 		 0.21253 		 0.21324
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211955 		 0.212063 		 0.212935
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211608 		 0.212366 		 0.213538
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211866 		 0.211866 		 0.213161
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212262 		 0.212782 		 0.213969
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212156 		 0.212156 		 0.213051
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211741 		 0.212523 		 0.21317
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212451 		 0.212451 		 0.212721
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212326 		 0.212513 		 0.213839
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211907 		 0.212494 		 0.213543
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211871 		 0.212148 		 0.212497
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211982 		 0.212308 		 0.212308
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212205 		 0.212205 		 0.213459
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212671 		 0.212998 		 0.212998
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212602 		 0.21264 		 0.214123
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212145 		 0.212539 		 0.21305
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212538 		 0.212647 		 0.213697
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212317 		 0.212339 		 0.212518
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21195 		 0.21195 		 0.212619
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212222 		 0.212666 		 0.213029
