# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299827 		 0.299827 		 0.300454
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299648 		 0.299776 		 0.30081
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300052 		 0.301163 		 0.30276
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299166 		 0.300038 		 0.301712
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299036 		 0.299855 		 0.301725
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.298981 		 0.299901 		 0.299901
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.296987 		 0.297234 		 0.300409
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299344 		 0.299632 		 0.300249
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.298642 		 0.30086 		 0.303057
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300506 		 0.301281 		 0.311294
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.30023 		 0.300519 		 0.303392
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299102 		 0.300005 		 0.308727
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300381 		 0.300381 		 0.300381
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.298225 		 0.298225 		 0.303518
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299361 		 0.299361 		 0.299638
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299589 		 0.299749 		 0.299749
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300154 		 0.30086 		 0.301694
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300009 		 0.300717 		 0.301313
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299355 		 0.299699 		 0.307943
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300074 		 0.300161 		 0.301214
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299984 		 0.30206 		 0.317164
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299909 		 0.300746 		 0.303858
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.30007 		 0.300449 		 0.300449
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299826 		 0.300694 		 0.30207
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.298915 		 0.298915 		 0.302795
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299243 		 0.299559 		 0.304401
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299847 		 0.300303 		 0.302377
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.298847 		 0.299883 		 0.300806
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.298559 		 0.299838 		 0.304049
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299539 		 0.301144 		 0.302414
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.29966 		 0.300427 		 0.304396
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.29865 		 0.29865 		 0.305187
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300231 		 0.300231 		 0.30087
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.29763 		 0.299873 		 0.301587
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299715 		 0.301328 		 0.301328
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299989 		 0.299989 		 0.301531
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.297495 		 0.300522 		 0.3044
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300156 		 0.301135 		 0.301639
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.300114 		 0.300537 		 0.300639
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.299086 		 0.300242 		 0.300514
