# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.394384 		 0.394384 		 0.395564
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.394342 		 0.394342 		 0.394342
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.395518 		 0.395518 		 0.396442
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.394896 		 0.397037 		 0.397299
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.394993 		 0.394993 		 0.395754
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.394165 		 0.39583 		 0.3981
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.39612 		 0.39612 		 0.396926
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.394022 		 0.394237 		 0.394383
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.394721 		 0.396243 		 0.396339
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.394392 		 0.395516 		 0.396578
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.396234 		 0.396674 		 0.397846
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.396178 		 0.396178 		 0.398955
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.395624 		 0.396601 		 0.396601
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.395814 		 0.395814 		 0.39582
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.396168 		 0.396434 		 0.398274
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.394324 		 0.394324 		 0.394324
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.396739 		 0.396739 		 0.396739
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.397212 		 0.397725 		 0.397847
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.39472 		 0.39472 		 0.395848
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.395915 		 0.397255 		 0.408337
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.395824 		 0.395824 		 0.396868
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.394684 		 0.396567 		 0.396567
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.395257 		 0.395257 		 0.395257
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.395234 		 0.396754 		 0.39679
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.395973 		 0.395973 		 0.395973
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
