# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213977 		 0.214725 		 0.215609
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212717 		 0.215058 		 0.217898
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213371 		 0.215748 		 0.215852
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21409 		 0.215481 		 0.217186
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213813 		 0.214895 		 0.215975
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213893 		 0.215225 		 0.215882
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21415 		 0.215527 		 0.216874
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212754 		 0.215097 		 0.216646
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213226 		 0.215416 		 0.216219
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213674 		 0.214725 		 0.215488
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211425 		 0.215615 		 0.215773
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21397 		 0.214977 		 0.215732
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213873 		 0.215298 		 0.215507
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21306 		 0.215483 		 0.216645
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.214285 		 0.215439 		 0.216177
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213954 		 0.215573 		 0.21582
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213867 		 0.21554 		 0.216185
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212261 		 0.215456 		 0.216644
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211004 		 0.214857 		 0.218733
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213998 		 0.215092 		 0.215616
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213428 		 0.21495 		 0.215153
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212849 		 0.215187 		 0.215758
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212241 		 0.215656 		 0.215963
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212484 		 0.215127 		 0.216459
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.209375 		 0.214865 		 0.214973
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213572 		 0.214727 		 0.215605
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213308 		 0.215229 		 0.215679
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213786 		 0.214872 		 0.215461
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211925 		 0.215112 		 0.215759
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21329 		 0.215408 		 0.215786
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213359 		 0.214789 		 0.215552
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.209821 		 0.213391 		 0.215736
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21267 		 0.214546 		 0.215117
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213469 		 0.215021 		 0.216491
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212586 		 0.21493 		 0.215727
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.214215 		 0.215818 		 0.215818
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21113 		 0.214914 		 0.215203
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213973 		 0.215028 		 0.216577
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211647 		 0.215814 		 0.216947
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.211434 		 0.21494 		 0.215746
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213745 		 0.215104 		 0.215443
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213771 		 0.2156 		 0.215992
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213382 		 0.215008 		 0.215541
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213715 		 0.215464 		 0.217639
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213757 		 0.215265 		 0.216508
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213531 		 0.215374 		 0.215374
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212569 		 0.215548 		 0.21605
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212876 		 0.214907 		 0.215928
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21323 		 0.21507 		 0.215224
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.210588 		 0.21558 		 0.215895
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.212902 		 0.215804 		 0.21607
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213445 		 0.214832 		 0.216919
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21404 		 0.215181 		 0.215222
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213564 		 0.21559 		 0.216845
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213564 		 0.21559 		 0.216845
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21352 		 0.214973 		 0.217003
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213591 		 0.215051 		 0.217855
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.21148 		 0.215371 		 0.218464
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.213777 		 0.215006 		 0.215731
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.214141 		 0.214893 		 0.215957
