# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.278954 		 0.279139 		 0.280167
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.277774 		 0.278291 		 0.278291
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.278454 		 0.278454 		 0.281088
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.276612 		 0.279119 		 0.282376
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.277648 		 0.278204 		 0.278901
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.277536 		 0.278156 		 0.278702
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.277184 		 0.279019 		 0.279042
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.277975 		 0.279297 		 0.279297
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.277975 		 0.279297 		 0.279297
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.278997 		 0.279354 		 0.282895
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.278572 		 0.278572 		 0.279792
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.278753 		 0.278807 		 0.280623
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.278311 		 0.279161 		 0.279426
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.277224 		 0.278534 		 0.278635
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.277687 		 0.277946 		 0.280701
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.276724 		 0.276724 		 0.277448
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.277972 		 0.278763 		 0.278818
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.27842 		 0.27963 		 0.27999
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
100 		 0.277338 		 0.277499 		 0.280315
# L 		 Wrap in 1D 		 Wrap in 2D 		 Wrap in 3D
